"ID","Name","Disorder class","Type"
"D0058","Adult_i_phenotype","Hematological","Disease"
"D0059","ADULT_syndrome","multiple","Disease"
"D0060","Advanced_sleep_phase_syndrome","Neurological","Disease"
"D0061","Afibrinogenemia","Hematological","Disease"
"D0063","Agammaglobulinemia","Hematological","Disease"
"D0064","AGAT_deficiency","Metabolic","Disease"
"D0065","Agenesis_of_the_corpus_callosum_with_peripheral_neuropathy","Neurological","Disease"
"D0069","AICA-ribosiduria_due_to_ATIC_deficiency","Metabolic","Disease"
"D0070","AIDS","Immunological","Disease"
"D0071","Alagille_syndrome","multiple","Disease"
"D0072","Albinism","Dermatological","Disease"
"D0074","Alcohol_dependence","Unclassified","Disease"
"D0075","Alcoholism","Unclassified","Disease"
"D0076","Aldolase_A_deficiency","Metabolic","Disease"
"D0077","Aldosterone_to_renin_ratio_raised","Endocrine","Disease"
"D0078","Aldosteronism","Endocrine","Disease"
"D0079","Alexander_disease","multiple","Disease"
"D0080","Alkaptonuria","Metabolic","Disease"
"D0082","Allan-Herndon-Dudley_syndrome","Neurological","Disease"
"D0083","Allergic_rhinitis","Immunological","Disease"
"D0085","Alopecia_universalis","Dermatological","Disease"
"D0086","Alpers_syndrome","Neurological","Disease"
"D0087","Alpha-1-antichymotrypsin_deficiency","Respiratory","Disease"
"D0088","Alpha-actinin-3_deficiency","Muscular","Disease"
"D0090","Alpha-methylacetoacetic_aciduria","Metabolic","Disease"
"D0091","Alpha-methylacyl-CoA_racemase_deficiency","Metabolic","Disease"
"D0092","Alpha-thalassemia/mental_retardation_syndrome","Hematological","Disease"
"D0094","Alport_syndrome","Renal","Disease"
"D0095","NULL","Neurological","Disease"
"D0096","Alternating_hemiplegia_of_childhood","Neurological","Disease"
"D0097","Alveolar_soft-part_sarcoma","Cancer","Disease"
"D0098","Alzheimer_disease","Neurological","Disease"
"D0099","Amelogenesis_imperfecta","Bone","Disease"
"D0100","Amish_infantile_epilepsy_syndrome","Neurological","Disease"
"D0101","AMP_deaminase_deficiency","Hematological","Disease"
"D0102","Amyloid_neuropathy","Neurological","Disease"
"D0103","Amyloidosis","Neurological","Disease"
"D0104","Amyotrophic_lateral_sclerosis","Neurological","Disease"
"D0105","Analbuminemia","Hematological","Disease"
"D0107","Analgesia_from_kappa-opioid_receptor_agonist,_female-specific","Unclassified","Disease"
"D0108","Anderson_disease","Gastrointestinal","Disease"
"D0109","Androgen_insensitivity","Endocrine","Disease"
"D0110","Anemia","Hematological","Disease"
"D0113","Angelman_syndrome","Developmental","Disease"
"D0114","Angioedema","Immunological","Disease"
"D0115","Angiofibroma,_sporadic","Endocrine","Disease"
"D0117","Angiotensin_I-converting_enzyme","Endocrine","Disease"
"D0118","Anhaptoglobinemia","Hematological","Disease"
"D0119","Aniridia,_type_II","Ophthamological","Disease"
"D0121","Ankylosing_spoldylitis","Connective_tissue_disorder","Disease"
"D0122","Anophthalmia","Ophthamological","Disease"
"D0124","Anorexia_nervosa","Nutritional","Disease"
"D0126","Anterior_segment_anomalies_and_cataract","Ophthamological","Disease"
"D0127","Antithrombin_III_deficiency","Hematological","Disease"
"D0128","Antley-Bixler_syndrome","Unclassified","Disease"
"D0129","Anxiety-related_personality_traits","Psychiatric","Disease"
"D0130","Aortic_aneurysm","Cardiovascular","Disease"
"D0131","Apert_syndrome","Connective_tissue_disorder","Disease"
"D0132","Aplasia_of_lacrimal_and_salivary_glands","Gastrointestinal","Disease"
"D0133","Aplastic_anemia","Hematological","Disease"
"D0134","Apnea,_postanesthetic","Unclassified","Disease"
"D0136","Apolipoprotein_deficiency","Metabolic","Disease"
"D0137","Apparent_mineralocorticoid_excess,_hypertension_due_to","Bone","Disease"
"D0138","Aquaporin-1_deficiency","Unclassified","Disease"
"D0139","ARC_syndrome","Gastrointestinal","Disease"
"D0140","Argininemia","Metabolic","Disease"
"D0142","Aromatase_deficiency","Metabolic","Disease"
"D0143","Aromatic_L-amino_acid_decarboxylase_deficiency","Metabolic","Disease"
"D0144","Arrhythmogenic_right_ventricular_dysplasia","Cardiovascular","Disease"
"D0146","Arthrogryposis","Developmental","Disease"
"D0147","Arthropathy","Bone","Disease"
"D0150","Aspartylglucosaminuria","Metabolic","Disease"
"D0151","Asperger_syndrome","Psychiatric","Disease"
"D0153","Asthma","Respiratory","Disease"
"D0154","Ataxia","Neurological","Disease"
"D0157","Ataxia-telangiectasia","Immunological","Disease"
"D0160","Atelosteogenesis","Connective_tissue_disorder","Disease"
"D0162","Athabaskan_brainstem_dysgenesis_syndrome","Neurological","Disease"
"D0163","Atherosclerosis","Cardiovascular","Disease"
"D0164","Atopy","Immunological","Disease"
"D0165","Atransferrinemia","Hematological","Disease"
"D0166","Atrial_fibrillation","Cardiovascular","Disease"
"D0167","Atrichia_with_papular_lesions","Dermatological","Disease"
"D0168","Atrioventricular_block","Cardiovascular","Disease"
"D0171","Attention-deficit_hyperactivity_disorder","Psychiatric","Disease"
"D0173","Autism","Psychiatric","Disease"
"D0174","Autoimmune_disease","Immunological","Disease"
"D0175","Autonomic_nervous_system_dysfunction","Psychiatric","Disease"
"D0177","Axenfeld_anomaly","Ophthamological","Disease"
"D0178","Azoospermia","Endocrine","Disease"
"D0180","Bamforth-Lazarus_syndrome","Endocrine","Disease"
"D0182","Bannayan-Riley-Ruvalcaba_syndrome","Unclassified","Disease"
"D0183","Bardet-Biedl_syndrome","multiple","Disease"
"D0184","Bare_lymphocyte_syndrome","Immunological","Disease"
"D0185","Barth_syndrome","multiple","Disease"
"D0186","Bart-Pumphrey_syndrome","multiple","Disease"
"D0187","Bartter_syndrome","multiple","Disease"
"D0188","Basal_cell_carcinoma","Cancer","Disease"
"D0190","B-cell_non-Hodgkin_lymphoma,_high-grade","Cancer","Disease"
"D0191","BCG_infection","Immunological","Disease"
"D0192","Beare-Stevenson_cutis_gyrata_syndrome","multiple","Disease"
"D0193","Becker_muscular_dystrophy","Muscular","Disease"
"D0194","Beckwith-Wiedemann_syndrome","multiple","Disease"
"D0195","Benzene_toxicity","Unclassified","Disease"
"D0196","Bernard-Soulier_syndrome","Hematological","Disease"
"D0197","Beryllium_disease,_chronic","Unclassified","Disease"
"D0198","Beta-2-adrenoreceptor_agonist,_reduced_response_to","Unclassified","Disease"
"D0199","Beta-ureidopropionase_deficiency","Metabolic","Disease"
"D0200","Bethlem_myopathy","Muscular","Disease"
"D0201","Bietti_crystalline_corneoretinal_dystrophy","Ophthamological","Disease"
"D0202","Bile_acid_malabsorption,_primary","Gastrointestinal","Disease"
"D0203","Biotinidase_deficiency","Metabolic","Disease"
"D0204","Bipolar_disorder","Psychiatric","Disease"
"D0205","Birt-Hogg-Dube_syndrome","Dermatological","Disease"
"D0207","Bladder_cancer","Cancer","Disease"
"D0208","Blau_syndrome","multiple","Disease"
"D0209","Bleeding_disorder","Hematological","Disease"
"D0210","Blepharophimosis,_epicanthus_inversus,_and_ptosis","multiple","Disease"
"D0211","Blepharospasm","Ophthamological","Disease"
"D0212","Blood_group","Hematological","Disease"
"D0213","Bloom_syndrome","Cancer","Disease"
"D0214","Blue-cone_monochromacy","Ophthamological","Disease"
"D0216","Bombay_phenotype","Hematological","Disease"
"D0217","Bone_mineral_density_variability","Bone","Disease"
"D0218","Borjeson-Forssman-Lehmann_syndrome","multiple","Disease"
"D0220","Bosley-Salih-Alorainy_syndrome","Neurological","Disease"
"D0221","Bothnia_retinal_dystrophy","Ophthamological","Disease"
"D0224","Brachydactyly","Skeletal","Disease"
"D0225","Bradyopsia","Ophthamological","Disease"
"D0226","Branchiootic_syndrome","Neurological","Disease"
"D0228","Breast_cancer","Cancer","Disease"
"D0231","Brody_myopathy","Muscular","Disease"
"D0233","Bruck_syndrome","Unclassified","Disease"
"D0234","Brugada_syndrome","Cardiovascular","Disease"
"D0235","Brunner_syndrome","Unclassified","Disease"
"D0237","Burkitt_lymphoma","Cancer","Disease"
"D0238","Buschke-Ollendorff_syndrome","multiple","Disease"
"D0239","Butterfly_dystrophy,_retinal","Ophthamological","Disease"
"D0240","Complementary_component_deficiency","Immunological","Disease"
"D0252","Cafe-au-lait_spots","Cancer","Disease"
"D0253","Caffey_disease","Connective_tissue_disorder","Disease"
"D0254","Calcinosis,_tumoral","Bone","Disease"
"D0255","Campomelic_dysplasia","Skeletal","Disease"
"D0256","Camptodactyly-arthropathy-coxa_vara-pericarditis_syndrome","Skeletal","Disease"
"D0257","Camurati-Engelmann_disease","Skeletal","Disease"
"D0258","Canavan_disease","Metabolic","Disease"
"D0259","Cancer_susceptibility","Cancer","Disease"
"D0261","Capillary_malformations","Cardiovascular","Disease"
"D0262","Carbamoylphosphate_synthetase_I_deficiency","Metabolic","Disease"
"D0263","Carbohydrate-deficient_glycoprotein_syndrome","Metabolic","Disease"
"D0264","Carboxypeptidase_N_deficiency","Hematological","Disease"
"D0265","Carcinoid_tumors,_intestinal","Cancer","Disease"
"D0267","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency","Cardiovascular","Disease"
"D0268","Cardiomyopathy","Cardiovascular","Disease"
"D0269","Carney_complex","multiple","Disease"
"D0271","Carnitine-acylcarnitine_translocase_deficiency","Metabolic","Disease"
"D0272","Carnitine_deficiency","Metabolic","Disease"
"D0275","Carpal_tunnel_syndrome,_familial","Unclassified","Disease"
"D0276","Cartilage-hair_hypoplasia","Skeletal","Disease"
"D0277","Cataract","Ophthamological","Disease"
"D0279","Cavernous_malformations_of_CNS_and_retina","Cardiovascular","Disease"
"D0283","CD59_deficiency","Immunological","Disease"
"D0284","CD8_deficiency,_familial","Immunological","Disease"
"D0287","Central_hypoventilation_syndrome","Respiratory","Disease"
"D0289","Cerebellar_ataxia","Neurological","Disease"
"D0291","Cerebral_amyloid_angiopathy","Neurological","Disease"
"D0292","Cerebrooculofacioskeletal_syndrome","multiple","Disease"
"D0293","Cerebrotendinous_xanthomatosis","Metabolic","Disease"
"D0294","Cerebrovascular_disease,_occlusive","Unclassified","Disease"
"D0295","Ceroid_lipofuscinosis","Neurological","Disease"
"D0296","Ceroid-lipofuscinosis","Neurological","Disease"
"D0298","Cervical_carcinoma","Cancer","Disease"
"D0299","CETP_deficiency","Metabolic","Disease"
"D0300","Chanarin-Dorfman_syndrome","Metabolic","Disease"
"D0301","Charcot-Marie-Tooth_disease","Neurological","Disease"
"D0302","CHARGE_syndrome","multiple","Disease"
"D0303","Char_syndrome","multiple","Disease"
"D0304","Chediak-Higashi_syndrome","multiple","Disease"
"D0305","Cherubism","Unclassified","Disease"
"D0306","CHILD_syndrome","Developmental","Disease"
"D0307","Chitotriosidase_deficiency","Metabolic","Disease"
"D0308","Chloride_diarrhea,_congenital,_Finnish_type","Gastrointestinal","Disease"
"D0309","Cholelithiasis","Gastrointestinal","Disease"
"D0310","Cholestasis","Gastrointestinal","Disease"
"D0313","Cholesteryl_ester_storage_disease","Metabolic","Disease"
"D0314","Chondrocalcinosis","Connective_tissue_disorder","Disease"
"D0315","Chondrodysplasia_punctata","Connective_tissue_disorder","Disease"
"D0316","Chondrosarcoma","Cancer","Disease"
"D0318","Chorea,_hereditary_benign","Neurological","Disease"
"D0319","Choreoacanthocytosis","Neurological","Disease"
"D0320","Choreoathetosis,_hypothyroidism,_and_respiratory_distress","multiple","Disease"
"D0323","Choroidal_dystrophy","Ophthamological","Disease"
"D0326","Chromosome_22q13.3_deletion_syndrome","multiple","Disease"
"D0327","Chronic_granulomatous_disease","Immunological","Disease"
"D0328","Chudley-Lowry_syndrome","multiple","Disease"
"D0329","Chylomicronemia_syndrome,_familial","Metabolic","Disease"
"D0330","Chylomicron_retention_disease","Gastrointestinal","Disease"
"D0331","Ciliary_dyskinesia","Respiratory","Disease"
"D0332","CINCA_syndrome","multiple","Disease"
"D0334","Cirrhosis","Gastrointestinal","Disease"
"D0335","Citrullinemia","Metabolic","Disease"
"D0336","Cleft_palate","Developmental","Disease"
"D0337","Cleidocranial_dysplasia","Skeletal","Disease"
"D0338","Coats_disease","Ophthamological","Disease"
"D0339","Cockayne_syndrome","multiple","Disease"
"D0340","Codeine_sensitivity","Metabolic","Disease"
"D0341","Coffin-Lowry_syndrome","multiple","Disease"
"D0342","Cohen_syndrome","multiple","Disease"
"D0343","Colchicine_resistance","Unclassified","Disease"
"D0344","Cold-induced_autoinflammatory_syndrome","Immunological","Disease"
"D0345","Coloboma,_ocular","Ophthamological","Disease"
"D0346","Colon_cancer","Cancer","Disease"
"D0347","Colonic_aganglionosis,_total,_with_small_bowel_involvement","Gastrointestinal","Disease"
"D0348","Colorblindness","Ophthamological","Disease"
"D0350","Combined_factor_V_and_VIII_deficiency","Hematological","Disease"
"D0351","Complex_mitochondrial_respiratory_chain,_deficiency_of","multiple","Disease"
"D0352","Cone_dystrophy","Ophthamological","Disease"
"D0354","Congenital_disorder_of_glycosylation","Metabolic","Disease"
"D0355","Congestive_heart_failure","Cardiovascular","Disease"
"D0356","Conjunctivitis,_ligneous","Ophthamological","Disease"
"D0357","Conotruncal_anomaly_face_syndrome","Cardiovascular","Disease"
"D0358","Contractural_arachnodactyly,_congenital","Connective_tissue_disorder","Disease"
"D0359","Convulsions","Neurological","Disease"
"D0360","COPD,_rate_of_decline_of_lung_function_in","Respiratory","Disease"
"D0361","Coproporphyria","Metabolic","Disease"
"D0362","Corneal_dystrophy","Ophthamological","Disease"
"D0364","Cornelia_de_Lange_syndrome","Developmental","Disease"
"D0365","Coronary_artery_disease","Cardiovascular","Disease"
"D0366","Corpus_callosum,_agenesis_of,_with_mental_retardation,_ocular_coloboma_and_micrognathia","Neurological","Disease"
"D0367","Cortisol_resistance","Endocrine","Disease"
"D0368","Cortisone_reductase_deficiency","Metabolic","Disease"
"D0369","Costello_syndrome","multiple","Disease"
"D0370","Coumarin_resistance","Hematological","Disease"
"D0372","Cowden_disease","Cancer","Disease"
"D0374","CPT_deficiency,_hepatic","Metabolic","Disease"
"D0376","Cramps,_potassium-aggravated","Muscular","Disease"
"D0377","Craniofacial_anomalies,_empty_sella_turcica,_corneal_endothelial_changes,_and_abnormal_retinal_and_auditory_bipolar_cells","multiple","Disease"
"D0378","Craniofacial-deafness-hand_syndrome","multiple","Disease"
"D0379","Craniofacial-skeletal-dermatologic_dysplasia","multiple","Disease"
"D0380","Craniofrontonasal_dysplasia","Skeletal","Disease"
"D0382","Craniometaphyseal_dysplasia","Bone","Disease"
"D0383","Craniosynostosis","Skeletal","Disease"
"D0384","CRASH_syndrome","multiple","Disease"
"D0385","Creatine_phosphokinase","Metabolic","Disease"
"D0388","Creutzfeldt-Jakob_disease","Neurological","Disease"
"D0389","Crigler-Najjar_syndrome","multiple","Disease"
"D0390","Crohn_disease","Gastrointestinal","Disease"
"D0391","Crouzon_syndrome","Skeletal","Disease"
"D0392","Cryptorchidism","Renal","Disease"
"D0394","Currarino_syndrome","Skeletal","Disease"
"D0395","Cutis_laxa","Connective_tissue_disorder","Disease"
"D0396","Cyclic_ichthyosis_with_epidermolytic_hyperkeratosis","Dermatological","Disease"
"D0397","Cylindromatosis,_familial","Dermatological","Disease"
"D0398","Cystathioninuria","Metabolic","Disease"
"D0399","Cystic_fibrosis","Respiratory","Disease"
"D0400","Cystinosis","Renal","Disease"
"D0401","Cystinuria","Renal","Disease"
"D0402","D-2-hydroxyglutaric_aciduria","Metabolic","Disease"
"D0404","Darier_disease","Dermatological","Disease"
"D0405","D-bifunctional_protein_deficiency","Metabolic","Disease"
"D0406","Deafness","Ear,Nose,Throat","Disease"
"D0407","Debrisoquine_sensitivity","Metabolic","Disease"
"D0410","Dejerine-Sottas_disease","multiple","Disease"
"D0411","Delayed_sleep_phase_syndrome","Psychiatric","Disease"
"D0412","Dementia","Neurological","Disease"
"D0413","Dengue_fever,_protection_against","Immunological","Disease"
"D0414","Dental_anomalies,_isolated","Skeletal","Disease"
"D0415","Dentatorubro-pallidoluysian_atrophy","Neurological","Disease"
"D0416","Dent_disease","Renal","Disease"
"D0417","Dentin_dysplasia,_type_II","Bone","Disease"
"D0418","Dentinogenesis_imperfecta,_Shields_type","Bone","Disease"
"D0420","Denys-Drash_syndrome","Renal","Disease"
"D0422","Dermatofibrosarcoma_protuberans","Cancer","Disease"
"D0424","De_Sanctis-Cacchione_syndrome","multiple","Disease"
"D0425","Desmoid_disease,_hereditary","Cancer","Disease"
"D0426","Desmosterolosis","Metabolic","Disease"
"D0427","Diabetes_mellitus","Endocrine","Disease"
"D0430","Diastrophic_dysplasia","Skeletal","Disease"
"D0432","DiGeorge_syndrome","multiple","Disease"
"D0433","Dihydropyrimidinuria","Metabolic","Disease"
"D0434","Dilated_cardiomyopathy_with_woolly_hair_and_keratoderma","multiple","Disease"
"D0435","Dimethylglycine_dehydrogenase_deficiency","Metabolic","Disease"
"D0438","Disordered_steroidogenesis,_isolated","Metabolic","Disease"
"D0439","Dissection_of_cervical_arteries","Connective_tissue_disorder","Disease"
"D0440","DNA_topoisomerase","Metabolic","Disease"
"D0441","Dopamine_beta-hydroxylase_deficiency","Metabolic","Disease"
"D0443","Dosage-sensitive_sex_reversal","Endocrine","Disease"
"D0444","Double-outlet_right_ventricle","Cardiovascular","Disease"
"D0445","Down_syndrome","multiple","Disease"
"D0446","Doyne_honeycomb_degeneration_of_retina","Ophthamological","Disease"
"D0447","Drug_addiction","Psychiatric","Disease"
"D0449","Duane_syndrome","multiple","Disease"
"D0450","Dubin-Johnson_syndrome","Metabolic","Disease"
"D0451","Duchenne_muscular_dystrophy","Muscular","Disease"
"D0452","Dyggve-Melchior-Clausen_disease","multiple","Disease"
"D0453","Dysalbuminemic_hyperthyroxinemia","Hematological","Disease"
"D0454","Dysautonomia","Neurological","Disease"
"D0455","Dyschromatosis","Dermatological","Disease"
"D0456","Dyserythropoietic_anemia","Hematological","Disease"
"D0457","Dysfibrinogenemia","Hematological","Disease"
"D0458","Dyskeratosis","Dermatological","Disease"
"D0459","Dyslexia","Psychiatric","Disease"
"D0460","Dysprothrombinemia","Hematological","Disease"
"D0461","Dyssegmental_dysplasia,_Silverman-Handmaker_type","Neurological","Disease"
"D0462","Dystonia","Neurological","Disease"
"D0463","Dystransthyretinemic_hyperthyroxinemia","Hematological","Disease"
"D0465","EBD","Dermatological","Disease"
"D0466","Ectodermal_dysplasia","Dermatological","Disease"
"D0467","Ectopia","Ophthamological","Disease"
"D0468","EEC_syndrome","Skeletal","Disease"
"D0470","Ehlers-Danlos_syndrome","Connective_tissue_disorder","Disease"
"D0471","Elite_sprint_athletic_performance","Muscular","Disease"
"D0472","Elliptocytosis","Hematological","Disease"
"D0473","Ellis-van_Creveld_syndrome","Skeletal","Disease"
"D0474","Emery-Dreifuss_muscular_dystrophy","Muscular","Disease"
"D0475","Emphysema","Respiratory","Disease"
"D0476","Encephalopathy","Neurological","Disease"
"D0477","Enchondromatosis","Cancer","Disease"
"D0479","Endometrial_carcinoma","Cancer","Disease"
"D0481","Endotoxin_hyporesponsiveness","Immunological","Disease"
"D0482","Endplate_acetylcholinesterase_deficiency","Neurological","Disease"
"D0483","Enhanced_S-cone_syndrome","Ophthamological","Disease"
"D0484","Enlarged_vestibular_aqueduct","Ear,Nose,Throat","Disease"
"D0485","Enolase_deficiency","Metabolic","Disease"
"D0487","Enterokinase_deficiency","Gastrointestinal","Disease"
"D0491","Eosinophil_peroxidase_deficiency","Hematological","Disease"
"D0492","Epidermodysplasia_verruciformis","Dermatological","Disease"
"D0493","Epidermolysis_bullosa","Dermatological","Disease"
"D0494","Epidermolytic_hyperkeratosis","Dermatological","Disease"
"D0495","Epilepsy","Neurological","Disease"
"D0496","Epiphyseal_dysplasia","Bone","Disease"
"D0497","Episodic_ataxia","Neurological","Disease"
"D0498","Epithelial_ovarian_cancer,_somatic","Cancer","Disease"
"D0500","Epstein_syndrome","Hematological","Disease"
"D0502","Erythermalgia","Neurological","Disease"
"D0504","Erythremias","Hematological","Disease"
"D0505","Erythrocytosis","Hematological","Disease"
"D0507","Erythrokeratoderma","Dermatological","Disease"
"D0508","Esophageal_cancer","Cancer","Disease"
"D0509","Estrogen_resistance","Endocrine","Disease"
"D0510","Ethylmalonic_encephalopathy","Metabolic","Disease"
"D0511","Ewing_sarcoma","Cancer","Disease"
"D0512","Exertional_myoglobinuria_due_to_deficiency_of_LDH-A","Metabolic","Disease"
"D0514","Exostoses","Bone","Disease"
"D0515","Exudative_vitreoretinopathy","Ophthamological","Disease"
"D0516","Eye_anomalies","Ophthamological","Disease"
"D0517","Ezetimibe,_nonresponse_to","Unclassified","Disease"
"D0518","Fabry_disease","Metabolic","Disease"
"D0519","Facioscapulohumeral_muscular_dystrophy","Muscular","Disease"
"D0520","Factor_x_deficiency","Hematological","Disease"
"D0522","Familial_Mediterranean_fever","Immunological","Disease"
"D0523","Fanconi_anemia","multiple","Disease"
"D0524","Fanconi-Bickel_syndrome","Metabolic","Disease"
"D0526","Farber_lipogranulomatosis","Metabolic","Disease"
"D0527","Fatty_liver,_acute,_of_pregnancy","Metabolic","Disease"
"D0528","Favism","Metabolic","Disease"
"D0530","Fechtner_syndrome","multiple","Disease"
"D0531","Feingold_syndrome","multiple","Disease"
"D0532","Fertile_eunuch_syndrome","Endocrine","Disease"
"D0535","Fibrocalculous_pancreatic_diabetes","Gastrointestinal","Disease"
"D0537","Fibromatosisl","Connective_tissue_disorder","Disease"
"D0538","Fibrosis","Ophthamological","Disease"
"D0539","Fibular_hypoplasia_and_complex_brachydactyly","Skeletal","Disease"
"D0540","Fish-eye_disease","Metabolic","Disease"
"D0541","Fish-odor_syndrome","Metabolic","Disease"
"D0542","Fitzgerald_factor_deficiency","Hematological","Disease"
"D0544","Fluorouracil_toxicity,_sensitivity_to","Metabolic","Disease"
"D0545","Focal_cortical_dysplasia,_Taylor_balloon_cell_type","Developmental","Disease"
"D0546","Follicle-stimulating_hormone_deficiency,_isolated","Endocrine","Disease"
"D0547","Forebrain_defects","Neurological","Disease"
"D0548","Foveal_hypoplasia","Ophthamological","Disease"
"D0549","Foveomacular_dystrophy,_adult-onset,_with_choroidal_neovascularization","Ophthamological","Disease"
"D0550","Fragile_X_syndrome","Neurological","Disease"
"D0551","Fraser_syndrome","multiple","Disease"
"D0552","Frasier_syndrome","multiple","Disease"
"D0553","Friedreich_ataxia","Neurological","Disease"
"D0554","Frontometaphyseal_dysplasia","Skeletal","Disease"
"D0555","Fructose-bisphosphatase_deficiency","Metabolic","Disease"
"D0556","Fructose_intolerance","Metabolic","Disease"
"D0557","Fructosuria","Metabolic","Disease"
"D0558","Fuchs_endothelial_corneal_dystrophy","Ophthamological","Disease"
"D0559","Fucosidosis","Metabolic","Disease"
"D0560","Fucosyltransferase-6_deficiency","Metabolic","Disease"
"D0561","Fumarase_deficiency","Metabolic","Disease"
"D0562","Fundus_albipunctatus","Ophthamological","Disease"
"D0563","G6PD_deficiency","Metabolic","Disease"
"D0564","GABA-transaminase_deficiency","Metabolic","Disease"
"D0565","Galactokinase_deficiency","Metabolic","Disease"
"D0566","Galactose_epimerase_deficiency","Metabolic","Disease"
"D0567","Galactosemia","Metabolic","Disease"
"D0568","Galactosialidosis","Metabolic","Disease"
"D0570","GAMT_deficiency","Metabolic","Disease"
"D0571","Gardner_syndrome","Cancer","Disease"
"D0572","Gastric_cancer","Cancer","Disease"
"D0574","Gastrointestinal_stromal_tumor","Cancer","Disease"
"D0575","Gaucher_disease","Metabolic","Disease"
"D0576","Gaze_palsy","Neurological","Disease"
"D0578","Generalized_epilepsy","Neurological","Disease"
"D0580","Germ_cell_tumor","Cancer","Disease"
"D0581","Gerstmann-Straussler_disease","Neurological","Disease"
"D0582","Giant_axonal_neuropathy","Neurological","Disease"
"D0583","Giant-cell_fibroblastoma","Cancer","Disease"
"D0584","Giant_platelet_disorder,_isolated","Hematological","Disease"
"D0586","Gilbert_syndrome","Metabolic","Disease"
"D0587","Gitelman_syndrome","Renal","Disease"
"D0588","Glanzmann_thrombasthenia","Hematological","Disease"
"D0589","Glaucoma","Ophthamological","Disease"
"D0590","Glioblastoma","Cancer","Disease"
"D0594","Glomerulocystic_kidney_disease,_hypoplastic","Renal","Disease"
"D0596","Glomerulosclerosis","Renal","Disease"
"D0597","Glomuvenous_malformations","Cardiovascular","Disease"
"D0598","Glucocorticoid_deficiency","Endocrine","Disease"
"D0599","Glucose/galactose_malabsorption","Metabolic","Disease"
"D0600","Glucose_transport_defect,_blood-brain_barrier","Metabolic","Disease"
"D0601","Glucosidase_I_deficiency","Metabolic","Disease"
"D0602","Glutamate_formiminotransferase_deficiency","Metabolic","Disease"
"D0603","Glutaricaciduria","Metabolic","Disease"
"D0604","Glutathione_synthetase_deficiency","Metabolic","Disease"
"D0607","Glycerol_kinase_deficiency","Metabolic","Disease"
"D0608","Glycine_encephalopathy","Metabolic","Disease"
"D0609","Glycogenosis","Metabolic","Disease"
"D0610","Glycogen_storage_disease","Metabolic","Disease"
"D0614","GM-gangliosidosis","Metabolic","Disease"
"D0615","Gnthodiaphyseal_dysplasia","Bone","Disease"
"D0617","Goiter","Endocrine","Disease"
"D0618","Goldberg-Shprintzen_megacolon_syndrome","multiple","Disease"
